mass_Msun,mass_kg,schwarzschild_radius_km,schwarzschild_radius_AU,hawking_temperature_K,temperature_relative_to_CMB
5.322747810249411e-16,1058412433824664.6,1.5719880728819825e-15,1.0508091228346492e-23,115918958.4922732,42531263.435066305
5.478240577939303e-16,1089331704201496.6,1.617910364326496e-15,1.0815062786361545e-23,112628748.90266927,41324068.57555284
5.638275736451716e-16,1121154215366214.4,1.6651741779414985e-15,1.1131001866201686e-23,109431927.65337068,40151138.37951594
5.802985982082992e-16,1153906353579256.8,1.713818703446774e-15,1.1456170434963111e-23,106325844.03722163,39011500.288835675
5.9725078875698975e-16,1187615275919611.5,1.7638842754065239e-15,1.179083811255426e-23,103307922.58395633,37904209.35019495
6.146982015331445e-16,1222308932802611.8,1.8154124066735183e-15,1.2135282395256168e-23,100375660.92470022,36828347.43155392
6.326553034019057e-16,1258016091155587.5,1.868445822810318e-15,1.2489788885814123e-23,97526627.71708,35783022.46086223
6.511369838471495e-16,1294766358270541.5,1.9230284975160315e-15,1.2854651530250902e-23,94758460.62922734,34767367.68637951
6.701585673173794e-16,1332590206353589.2,1.979205689087934e-15,1.323017286159765e-23,92068864.38100731,33780540.95799205
6.897358259323004e-16,1371518997791601.2,2.0370239779482878e-15,1.3616664250745168e-23,89455608.84084056,32821724.02892701
7.098849925605915e-16,1411585011156959.5,2.0965313052674482e-15,1.401444616462344e-23,86916527.1765448,31890121.877286665
7.306227742796877e-16,1452821467971930.5,2.157777012715161e-15,1.442384843192264e-23,84449514.05866589,30984962.046841275
7.519663662288041e-16,1495262560254990.2,2.2208118833732524e-15,1.4845210516577579e-23,82052523.91479966,30105494.006530788
7.739334658666036e-16,1538943478871765.2,2.2856881838433526e-15,1.527888179924043e-23,79723569.23346792,29250988.528148204
7.965422876454008e-16,1583900442714250.0,2.3524597075848053e-15,1.5725221866976784e-23,77460718.91613302,28420737.081685204
8.198115781140428e-16,1630170728732430.8,2.4211818195185997e-15,1.6184600811424517e-23,75262096.67598869,27614051.247840285
